;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;
                                                                                                                                                   Cadastro_Cursos;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
N;Nome da Variável;Descrição da Variável;Tipo;Tam.;Categoria;Observação;"Coleta por ano (""s""=sim;""-""=não ) ";;;;;;;;;;;;Notas sobre diferenças entre os anos;;
;;;;;;;09;10;11;12;13;14;15;16;17;18;19;20;;;
;;;;;;;;;;;;;;;;;;;;;
1;NU_ANO_CENSO;Ano de referência do Censo da Educação Superior;Num;4;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
DADOS DO CURSO E IES;;;;;;;;;;;;;;;;;;;;;
2;NO_REGIAO;Nome da região geográfica do local de oferta do curso;Char;20;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
3;CO_REGIAO;Código da região geográfica;Num;2;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
4;NO_UF;Nome da Unidade da Federação do local de oferta do curso;Char;50;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
5;SG_UF;Sigla da Unidade da Federação do local de oferta do curso;Char;2;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
6;CO_UF;Código do IBGE da Unidade da Federação do local de oferta do curso;Num;2;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
7;NO_MUNICIPIO;Nome do Município do local de oferta do curso;Char;150;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
8;CO_MUNICIPIO;Código do IBGE do Município do local de oferta do curso;Num;7;(.) Dados de Cursos a Distância não calculados para esta dimensão geográfica e/ou Cursos a distância oferecidos por instituição de ensino brasileira no exterior;;s;s;s;s;s;s;s;s;s;s;s;s;;;
9;IN_CAPITAL;Informa se o local de oferta do curso está localizado em capital de Estado;Num;1;"0. Não
1. Sim
(.) Não aplicável (Curso a distância)";;s;s;s;s;s;s;s;s;s;s;s;s;;;
10;TP_ORGANIZACAO_ACADEMICA;Tipo da Organização Acadêmica da IES;Num;1;"1. Universidade
2. Centro Universitário
3. Faculdade
4. Instituto Federal de Educação, Ciência e Tecnologia                                
5. Centro Federal de Educação Tecnológica";;s;s;s;s;s;s;s;s;s;s;s;s;;;
11;TP_CATEGORIA_ADMINISTRATIVA;Tipo da Categoria Administrativa da IES;Num;1;"1. Pública Federal
2. Pública Estadual
3. Pública Municipal
4. Privada com fins lucrativos
5. Privada sem fins lucrativos
6. Privada - Particular em sentido estrito
7. Especial
8. Privada comunitária
9. Privada confessional";;s;s;s;s;s;s;s;s;s;s;s;s;"* As categorias 6, 8 e 9 somente no ano de 2009.
* Em 2012, foi criada a nova opção ""7"" Especial.";;
12;TP_REDE;Rede de Ensino;Num;1;"1. Pública
2. Privada";;s;s;s;s;s;s;s;s;s;s;s;s;;;
13;CO_IES;Código da Instituição ;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
14;NO_CINE_ROTULO;Nome do curso, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;120;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
15;CO_CINE_ROTULO;Código de identificação do curso, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;7;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
16;CO_CINE_AREA_GERAL;Código de identificação da área geral, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;2;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
17;NO_CINE_AREA_GERAL;Nome da área geral, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;120;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
18;CO_CINE_AREA_ESPECIFICA;Código de identificação da área específica, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;3;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
19;NO_CINE_AREA_ESPECIFICA;Nome da área específica, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;120;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
20;CO_CINE_AREA_DETALHADA;Código de identificação da área detalhada, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;4;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
21;NO_CINE_AREA_DETALHADA;Nome da área detalhada, conforme adaptação da Classificação Internacional Normalizada da Educação Cine/Unesco;Char;120;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
22;TP_GRAU_ACADEMICO;Tipo do grau acadêmico conferido ao aluno pela conclusão dos requisitos exigidos pelo curso;Num;1;"1. Bacharelado
2. Licenciatura
3. Tecnológico
4. Bacharelado e Licenciatura
(.) Não aplicável (cursos com nível acadêmico igual a sequencial de formação específica ou cursos de área básica de curso identificada pela variável TP_ATRIBUTO_INGRESSO)";;s;s;s;s;s;s;s;s;s;s;s;s;;;
23;TP_MODALIDADE_ENSINO;Tipo da modalidade de ensino do curso;Num;1;"1. Presencial
2. Curso a distância";;s;s;s;s;s;s;s;s;s;s;s;s;;;
24;TP_NIVEL_ACADEMICO;Tipo do nível acadêmico do curso;Num;1;"1. Graduação
2. Sequencial de Formação Específica";;s;s;s;s;s;s;s;s;s;s;s;s;;;
ESTATÍSTICAS DO CURSO;;;;;;;;;;;;;;;;;;;;;
25;QT_CURSO;Número de cursos;Num;4;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
26;QT_VG_TOTAL;Quantidade total de vagas oferecidas nos cursos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
27;QT_VG_TOTAL_DIURNO;Quantidade total de vagas oferecidas nos cursos no turno diurno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
28;QT_VG_TOTAL_NOTURNO;Quantidade total de vagas oferecidas nos cursos no turno noturno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
29;QT_VG_TOTAL_EAD;Quantidade total de vagas oferecidas nos cursos EAD;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
30;QT_VG_NOVA;Quantidade de vagas novas oferecidas nos cursos;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
31;QT_VG_PROC_SELETIVO;Quantidade de vagas nos processos seletivos oferecidos nos cursos ;Num;8;;;s;s;s;s;s;-;-;-;-;-;-;-;* Apenas para os anos de 2009 a 2013;;
32;QT_VG_REMANESC;Quantidade de vagas remanescentes oferecidas nos cursos ;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
33;QT_VG_PROG_ESPECIAL;Quantidade de vagas oferecidas para programas especiais;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
34;QT_INSCRITO_TOTAL;Quantidade total de inscritos nos cursos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
35;QT_INSCRITO_TOTAL_DIURNO;Quantidade total de inscritos nos cursos no turno diurno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
36;QT_INSCRITO_TOTAL_NOTURNO;Quantidade total de inscritos nos cursos no turno noturno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
37;QT_INSCRITO_TOTAL_EAD;Quantidade total de inscritos nos cursos EAD;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
38;QT_INSC_VG_NOVA;Quantidade de inscritos no processo seletivo de vagas novas ;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
39;QT_INSC_PROC_SELETIVO;Quantidade de inscritos nos processos seletivos oferecidos nos cursos ;Num;8;;;s;s;s;s;s;-;-;-;-;-;-;-;* Apenas para os anos de 2009 a 2013;;
40;QT_INSC_VG_REMANESC;Quantidade de inscritos no processo seletivo de vagas remanescentes;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
41;QT_INSC_VG_PROG_ESPECIAL;Quantidade de inscritos no processo seletivo de vagas oferecidas para programas especiais;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
42;QT_ING;Quantidade de ingressantes nos cursos;Num;8;Cálculo de ingressante (soma do número de alunos com data de ingresso de 01 de janeiro e 01 de julho do ano de referência do censo);;s;s;s;s;s;s;s;s;s;s;s;s;;;
43;QT_ING_FEM;Quantidade de ingressantes do sexo feminino nos cursos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
44;QT_ING_MASC;Quantidade de ingressantes do sexo masculino nos cursos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
45;QT_ING_DIURNO;Quantidade de ingressantes nos cursos no turno diurno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
46;QT_ING_NOTURNO;Quantidade de ingressantes nos cursos no turno noturno;Num;8;(.) Não aplicável (Curso a distância);;s;s;s;s;s;s;s;s;s;s;s;s;;;
47;QT_ING_VG_NOVA;Quantidade de ingressantes em vagas novas oferecidas nos cursos;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
48;QT_ING_VESTIBULAR;Quantidade de ingressantes nos cursos por vestibular;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
49;QT_ING_ENEM;Quantidade de ingressantes nos cursos pelo ENEM;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
50;QT_ING_AVALIACAO_SERIADA;Quantidade de ingressantes nos cursos por meio da avaliação seriada;Num;8;;;-;-;-;-;s;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2012;;
51;QT_ING_SELECAO_SIMPLIFICA;Quantidade de ingressantes nos cursos por meio de seleção simplificada;Num;8;;;-;-;-;-;-;s;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2013;;
52;QT_ING_EGR;Quantidade de alunos que se formaram em um curso de Bacharelado Interdisciplinar ou Licenciatura Interdisciplinar e que ingressaram em um curso de terminalidade;Num;8;;;-;-;-;-;-;-;-;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2015;;
53;QT_ING_OUTRO_TIPO_SELECAO;Quantidade de ingressantes em outro tipo de seleção para os cursos ;Num;8;;;s;s;s;s;s;-;-;-;-;-;-;-;* Apenas para os anos de 2009 a 2013;;
54;QT_ING_PROC_SELETIVO;Quantidade de ingressantes nos processos seletivos oferecidos nos cursos;Num;8;;;s;s;s;s;s;-;-;-;-;-;-;-;* Apenas para os anos de 2009 a 2013;;
