;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                                                                   Cadastro_IES;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
N;Nome da Variável;Descrição da Variável;Tipo;Tam.;Categoria;Observação;"Coleta por ano (""s""=sim;""-""=não ) ";;;;;;;;;;;;Notas sobre diferenças entre os anos;;;;;
;;;;;;;09;10;11;12;13;14;15;16;17;18;19;20;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1;NU_ANO_CENSO;Ano de referência do Censo da Educação Superior;Num;4;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
DADOS DA INSTITUIÇÃO DE ENSINO SUPERIOR (IES) - SEDE ADMINISTRATIVA/REITORIA;;;;;;;;;;;;;;;;;;;;;;;;
2;NO_REGIAO_IES;Nome da região geográfica da sede administrativa ou reitoria da IES;Char;20;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
3;CO_REGIAO_IES;Código da região geográfica;Num;2;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
4;NO_UF_IES;Nome da Unidade da Federação da sede administrativa ou reitoria da IES;Char;50;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
5;SG_UF_IES;Sigla da Unidade da Federação da sede administrativa ou reitoria da IES;Char;2;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
6;CO_UF_IES;Código da UF da sede administrativa ou reitoria da IES;Num;2;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
7;NO_MUNICIPIO_IES;Nome do Município da sede administrativa ou reitoria da IES;Char;150;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
8;CO_MUNICIPIO_IES;Código do Município da sede administrativa ou reitoria da IES;Num;7;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
9;IN_CAPITAL_IES;Sede administrativa ou reitoria da IES está localizada em uma capital da unidade da federação;Num;2;"0. Não
1. Sim";;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
10;NO_MESORREGIAO_IES;Nome da Mesorregião da sede administrativa ou reitoria da IES;Char;100;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
11;CO_MESORREGIAO_IES;Código da Mesorregião da sede administrativa ou reitoria da IES;Num;4;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
12;NO_MICRORREGIAO_IES;Nome da Microrregião da sede administrativa ou reitoria da IES;Char;100;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
13;CO_MICRORREGIAO_IES;Código da Microrregião da sede administrativa ou reitoria da IES;Num;5;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
14;TP_ORGANIZACAO_ACADEMICA;Tipo de Organização Acadêmica da IES;Num;1;"1. Universidade
2. Centro Universitário
3. Faculdade
4. Instituto Federal de Educação, Ciência e Tecnologia                                
5. Centro Federal de Educação Tecnológica";;s;s;s;s;s;s;s;s;s;s;s;s;* Em 2009 não há a opção 5 (Centro Federal de Educação Tecnológica).;;;;;
15;TP_CATEGORIA_ADMINISTRATIVA;Tipo de Categoria Administrativa da IES;Num;1;"1. Pública Federal
2. Pública Estadual
3. Pública Municipal
4. Privada com fins lucrativos
5. Privada sem fins lucrativos
6. Privada - Particular em sentido estrito
7. Especial
8. Privada comunitária
9. Privada confessional";;s;s;s;s;s;s;s;s;s;s;s;s;"* As categorias 6, 8 e 9 somente no ano de 2009.
* Em 2012, foi criada a nova opção ""7"" Especial. ";;;;;
16;NO_MANTENEDORA;Nome da mantenedora da IES;Char;100;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
17;CO_MANTENEDORA;Código único de identificação da mantenedora da IES;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
18;CO_IES;Código único de identificação da IES;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
19;NO_IES;Nome da IES;Char;200;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
20;SG_IES;Sigla da IES;Char;20;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
21;DS_ENDERECO_IES;Endereço da sede administrativa/reitoria da IES;Char;255;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
22;DS_NUMERO_ENDERECO_IES;Número do endereço;Char;10;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
23;DS_COMPLEMENTO_ENDERECO_IES;Complemento;Char;20;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
24;NO_BAIRRO_IES;Bairro;Char;50;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
25;NU_CEP_IES;CEP;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
26;QT_TEC_TOTAL;Quantidade de funcionários técnico-administrativos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
27;QT_TEC_FUNDAMENTAL_INCOMP_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental incompleto;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
28;QT_TEC_FUNDAMENTAL_INCOMP_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental incompleto;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
29;QT_TEC_FUNDAMENTAL_COMP_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental completo;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
30;QT_TEC_FUNDAMENTAL_COMP_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental completo;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
31;QT_TEC_MEDIO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino médio;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
32;QT_TEC_MEDIO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino médio;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
33;QT_TEC_SUPERIOR_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com nível superior;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
34;QT_TEC_SUPERIOR_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com nível superior;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
35;QT_TEC_ESPECIALIZACAO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com especialização;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
36;QT_TEC_ESPECIALIZACAO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com especialização;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
37;QT_TEC_MESTRADO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com mestrado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
38;QT_TEC_MESTRADO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com mestrado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
39;QT_TEC_DOUTORADO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com doutorado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
40;QT_TEC_DOUTORADO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com doutorado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
41;IN_ACESSO_PORTAL_CAPES;Informa se as bibliotecas da IES têm acesso ao portal Capes de periódicos;Num;1;"0. Não
1. Sim";;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
42;IN_ACESSO_OUTRAS_BASES;Informa se as bibliotecas da IES têm acesso a outras bases de dados licenciadas ou compradas;Num;1;"0. Não
1. Sim";;s;s;s;s;s;s;s;s;s;-;-;-;* Valor apenas para os anos de 2009 a 2017;;;;;
43;IN_ASSINA_OUTRA_BASE;Informa se as bibliotecas da IES assinam outras bases de dados licenciadas ou compradas;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;-;-;-;s;s;s;* Valor nulo para os anos de 2009 a 2017;;;;;
44;IN_REPOSITORIO_INSTITUCIONAL;Informa se a IES possui base de dados online que reúne de maneira organizada a produção científica da instituição;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
45;IN_BUSCA_INTEGRADA;Informa se a IES oferece ferramenta eletrônica que possibilita pesquisar simultaneamente diversas fontes de informação e obter resultado em uma única interface;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
46;IN_SERVICO_INTERNET;Informa se as bibliotecas da IES oferecem serviços pela internet;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
47;IN_PARTICIPA_REDE_SOCIAL;Informa se as bibliotecas participam de Redes Sociais;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
48;IN_CATALOGO_ONLINE;Informa se a IES possui ferramenta de recuperação de informação que permite ao usuário consultar, de forma local ou remota, a existência e disponibilidade de itens do acervo das bibliotecas;Num;1;"0. Não
1. Sim";;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
49;QT_PERIODICO_ELETRONICO;Quantidade de títulos de periódicos eletrônicos adquiridos pelas bibliotecas por meio de compra, doação ou permuta ;Num;8;;;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
50;QT_LIVRO_ELETRONICO;Quantidade de títulos de livros eletrônicos disponibilizados pelas bibliotecas convertidos ao formato digital ou originalmente produzidos nesse formato para serem lidos em computador ou outros dispositivos;Num;8;;;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
DADOS DE DOCENTES DA IES;;;;;;;;;;;;;;;;;;;;;;;;
51;QT_DOC_TOTAL;Quantidade total de docentes (em exercício e afastados);Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
52;QT_DOC_EXE;Quantidade total de docentes em exercício;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
53;QT_DOC_EX_FEMI;Quantidade de docentes em exercício do sexo feminino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
54;QT_DOC_EX_MASC;Quantidade de docentes em exercício do sexo masculino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
55;QT_DOC_EX_SEM_GRAD;Quantidade de docentes em exercício sem curso de graduação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
56;QT_DOC_EX_GRAD;Quantidade de docentes em exercício com curso de graduação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
57;QT_DOC_EX_ESP;Quantidade de docentes em exercício com especialização;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
58;QT_DOC_EX_MEST;Quantidade de docentes em exercício com mestrado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
59;QT_DOC_EX_DOUT;Quantidade de docentes em exercício com doutorado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
60;QT_DOC_EX_INT;Quantidade de docentes em exercício em tempo integral;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
