NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;CLUBE NAUTICO MOGIANO;175;243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;12;0;0;0;1;3;4;3;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;15;20;22;22;14;8;0;0;0;17;5;3;2;1;19;0;1;3;5;4;3;1;2;3;22;0;0;0;0;0;22;0;2
Guarulhos;3518800;Guarulhos;59;1;5;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;481;Universidade Universus Veritas Guarulhos;Univeritas UNG;210;4;1;17;12;28;25;46;34;8;7;14;6;3;5;1;0;0;1;1;1;0;0;45000;10632;452;452;238;214;0;0;76;234;142;198;0;198;139;115;20;79;86;80;57;40;47;43;320;5;120;5;1;1;452;0;0
Guarulhos;3518800;Guarulhos;59;2;5;SOCIEDADE GUARULHENSE DE EDUCACAO;333;483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;103;9;8;1;3;12;14;23;14;10;8;0;1;0;0;1;0;1;1;1;1;1;1;90;45487;57;57;19;38;0;0;24;27;6;19;0;19;27;11;0;0;0;3;8;7;11;28;49;0;5;0;0;3;57;0;1
Mogi das Cruzes;3530607;Mogi das Cruzes;62;1;4;ORGANIZACAO MOGIANA DE EDUCACAO E CULTURA SOCIEDADE SIMPLES LIMITADA;362;521;UNIVERSIDADE DE MOGI DAS CRUZES;UMC;287;1;4;9;10;67;91;34;32;14;13;7;3;1;1;1;0;1;0;0;1;1;1;48038;20200;769;745;313;432;0;0;200;328;217;323;0;323;261;161;9;37;81;142;108;102;95;171;623;9;57;29;0;27;732;13;9
Mogi das Cruzes;3530607;Mogi das Cruzes;62;2;4;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;365;526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;;100;0;0;0;0;22;23;19;9;16;4;3;3;0;1;0;0;1;1;1;1;0;1;37370;26023;335;335;159;176;0;0;106;148;81;84;0;84;94;157;8;25;58;47;56;41;42;58;238;7;19;5;0;66;331;4;0
Suzano;3552502;Mogi das Cruzes;62;3;5;UNIESP S.A;16134;1313;FACULDADE DE SUZANO;UNISUZ;26;0;0;0;0;5;4;6;1;5;1;1;2;1;0;0;0;1;0;1;1;1;1;22203;9145;40;40;15;25;0;0;4;28;8;8;0;8;32;0;0;3;2;7;12;6;5;5;29;1;4;1;0;5;40;0;0
Guarulhos;3518800;Guarulhos;59;2;4;EDVAC SERVICOS EDUCACIONAIS LTDA;1243;1892;Centro Universitário de Excelência Eniac;ENIAC;121;0;0;0;0;24;33;14;23;10;10;1;6;0;0;0;0;0;1;1;1;0;0;155;743;94;93;27;66;0;0;14;56;23;31;1;30;35;27;2;4;11;15;18;22;11;10;41;0;9;0;1;42;92;1;0
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;ASSOCIACAO CULTURAL PAULO VI;1557;2389;FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI;FFTP;4;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;28;26;3;23;0;0;1;12;13;6;2;4;2;18;0;1;1;3;4;5;4;8;21;0;3;0;0;2;23;3;0
Guarulhos;3518800;Guarulhos;59;3;4;UNIESP S.A;16134;2530;FACULDADE DE GUARULHOS;FAG;25;0;0;2;1;6;4;5;3;0;0;1;3;0;0;1;0;1;1;1;1;1;1;22203;9145;30;30;11;19;0;0;8;16;6;4;0;4;12;14;0;4;3;7;3;5;5;3;20;1;2;0;0;7;30;0;1
Guarulhos;3518800;Guarulhos;59;2;4;UNIFAVENI  CENTRO UNIVERSITARIO FAVENI LTDA;17427;3294;CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;34;0;0;2;1;3;2;10;5;5;1;2;1;2;0;1;0;1;1;1;1;1;1;53;72;92;92;38;54;0;0;12;55;25;0;0;0;92;0;5;13;10;11;11;14;13;15;60;1;10;0;0;21;90;2;0
Guarulhos;3518800;Guarulhos;59;3;4;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;3603;FACULDADE ANHANGUERA DE GUARULHOS;;80;1;2;0;1;14;13;16;10;9;3;5;4;1;1;0;0;1;1;1;1;0;1;21950;44089;146;146;65;81;0;0;33;49;64;25;0;25;101;20;4;23;26;28;12;16;19;18;118;5;17;4;1;1;145;1;2
Guarulhos;3518800;Guarulhos;59;3;4;E.E.S.R.G.- EMPRESA DE ENSINO SUPERIOR REUNIDAS GUARULHOS LTDA;17911;13752;FACULDADE DOM RICARDO;FDR;3;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;300;12112;11;10;7;3;0;0;3;5;2;1;1;0;9;0;0;4;1;1;1;2;1;0;6;1;1;0;0;2;10;0;0
Suzano;3552502;Mogi das Cruzes;62;3;5;UNIPIAGET/BRASIL;13938;14715;FACULDADE PIAGET;FACPIAGET;10;0;0;0;0;1;2;2;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1085;11711;68;68;35;33;0;0;30;26;12;2;1;1;56;10;4;4;16;14;12;8;7;3;59;0;7;0;0;2;68;0;0
Guarulhos;3518800;Guarulhos;59;3;4;PRO-FAC ENSINO SUPERIOR LTDA - ME;13766;14727;FACULDADE PROGRESSO;FAP;9;0;0;0;0;4;0;4;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;130;130;42;41;12;29;0;0;10;26;5;3;3;0;2;36;2;1;4;7;9;7;2;9;31;3;4;0;1;2;39;2;1
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15576;Faculdade de Tecnologia de Mogi das Cruzes;FATEC-MC;10;0;0;0;0;0;0;2;2;3;3;0;0;0;0;0;0;0;0;1;1;1;1;1;0;76;76;25;51;0;0;15;39;22;8;2;6;46;22;0;1;11;15;13;9;13;14;64;3;6;2;1;0;76;0;0
Itaquaquecetuba;3523107;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15639;Faculdade de Tecnologia de Itaquaquecetuba;Fatec Itaqua;14;0;0;0;0;3;0;4;3;0;4;0;0;0;0;0;0;0;0;1;1;1;1;1;0;61;56;24;32;0;0;13;28;15;3;1;2;32;21;0;2;2;6;9;12;14;11;43;4;6;2;0;1;56;0;0
Guarulhos;3518800;Guarulhos;59;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15752;Faculdade de Tecnologia de Guarulhos;FATEC GR;15;0;0;0;0;0;3;4;1;0;1;2;3;1;0;1;0;0;1;1;1;1;0;10;150;79;76;25;51;0;0;8;45;23;7;0;7;41;28;0;0;5;13;12;15;14;17;55;2;8;0;0;11;76;0;0
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;4;INSTITUTO EDUCATIEHOOG DE ENSINO E PESQUISA LIMITADA;15563;16901;INSTITUTO EDUCATIE;EDUCATIE;3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;15;12;3;0;1;7;5;2;2;1;1;3;10;0;1;0;3;5;1;1;4;13;0;0;0;0;2;15;0;0
Arujá;3503901;Guarulhos;59;3;5;JOVENS DA VERDADE ASSOCIACAO CIVIL;15953;18288;Faculdade Latino-americana;FLAM;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;168;14;14;6;8;0;0;5;4;5;1;0;1;2;11;0;2;2;1;2;2;2;3;13;1;0;0;0;0;14;0;0
Guarulhos;3518800;Guarulhos;59;3;4;FACULDADE DE ENSINO GUARULHENSE SS LTDA;16736;21822;FACULDADE TORRICELLI;FT;23;0;0;1;2;2;2;7;3;1;2;1;2;0;0;1;0;1;1;1;1;1;1;30;10000;13;13;3;10;0;0;2;11;0;3;0;3;10;0;1;2;0;1;1;1;3;4;9;0;4;0;0;0;13;0;0
Guarulhos;3518800;Guarulhos;59;3;5;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;222;22314;FACULDADE NOVE DE JULHO GUARULHOS;NOVE-GUARULHOS;10;0;0;0;0;3;2;1;0;0;0;0;2;1;1;1;0;1;1;0;1;1;1;54796;49670;23;23;13;10;0;0;8;14;1;0;0;0;3;20;0;3;9;4;5;0;1;1;19;1;2;1;0;0;23;0;1
Ferraz de Vasconcelos;3515707;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;23700;Faculdade de Tecnologia de Ferraz de Vasconcelos;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;50;50;10;40;0;0;8;30;12;4;1;3;10;36;1;1;6;11;8;11;8;4;34;4;10;1;0;1;50;0;0
