NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA;CO_PROJETO;CO_LOCAL_OFERTA;NO_LOCAL_OFERTA
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;CLUBE NAUTICO MOGIANO;175;243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;15;1;1;2;0;4;3;4;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;65;12;25;21;11;10;0;0;1;15;5;4;2;2;17;0;1;3;2;6;3;2;2;2;20;0;1;0;0;0;21;0;1;2111801;657800;CAMPUS  - MOGI DAS CRUZES - MOGILAR
Guarulhos;3518800;Guarulhos;59;1;5;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;481;Universidade Universus Veritas Guarulhos;Univeritas UNG;95;0;0;5;5;20;6;25;12;4;2;10;3;1;2;0;0;1;1;0;1;0;1;14430;13245;364;364;190;174;0;0;48;181;135;161;0;161;124;79;13;56;64;76;50;40;30;35;241;5;106;4;0;8;362;2;0;2111801;103202;Guarulhos Centro
Guarulhos;3518800;Guarulhos;59;2;5;SOCIEDADE GUARULHENSE DE EDUCACAO;333;483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;105;9;9;2;4;12;11;26;14;12;5;0;1;0;0;1;0;1;1;1;1;1;1;278;27439;57;57;18;39;0;0;24;27;6;14;0;14;32;11;0;0;0;3;5;10;9;30;50;0;5;0;0;2;57;0;1;2111801;657928;Centro Universitário Metropolitano de São Paulo - Unimesp
Mogi das Cruzes;3530607;Mogi das Cruzes;62;1;4;ORGANIZACAO MOGIANA DE EDUCACAO E CULTURA SOCIEDADE SIMPLES LIMITADA;362;521;UNIVERSIDADE DE MOGI DAS CRUZES;UMC;255;1;0;2;6;47;56;55;55;13;9;6;3;1;1;1;0;1;0;0;1;1;1;33756;25650;496;487;212;275;0;0;140;212;135;241;0;241;166;80;7;23;54;92;85;74;58;94;414;4;38;16;0;15;479;8;3;2111801;657950;CAMPUS CENTRO CÍVICO
Mogi das Cruzes;3530607;Mogi das Cruzes;62;2;4;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;365;526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;;117;1;0;1;5;28;34;17;11;14;2;2;2;0;0;0;0;1;1;1;1;0;1;37370;30628;311;311;149;162;0;0;73;143;95;66;0;66;103;142;8;24;50;57;46;40;42;44;259;6;24;5;0;17;309;2;4;2111801;25802;Campus I Sede
Suzano;3552502;Mogi das Cruzes;62;3;5;UNIESP S.A;16134;1313;FACULDADE DE SUZANO;UNISUZ;15;0;0;0;0;2;1;3;2;3;1;0;1;1;1;0;0;1;0;1;1;1;1;22203;9145;34;34;14;20;0;0;3;22;9;6;0;6;28;0;0;3;1;3;11;5;5;6;26;1;4;1;0;2;34;0;1;2111801;696246;Faculdade Unida de Suzano
Guarulhos;3518800;Guarulhos;59;2;4;EDVAC SERVICOS EDUCACIONAIS LTDA;1243;1892;Centro Universitário de Excelência Eniac;ENIAC;127;0;0;0;0;26;36;14;21;10;12;2;6;0;0;0;0;1;1;1;1;0;0;155;1998;62;62;18;44;0;0;0;45;17;20;0;20;23;19;0;1;8;6;12;13;11;11;30;0;5;0;0;27;61;1;0;2111801;658850;ENDEREÇO SEDE
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;ASSOCIACAO CULTURAL PAULO VI;1557;2389;FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI;FFTP;4;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;28;3;25;0;0;2;14;12;13;0;13;5;10;0;1;3;2;5;4;3;10;23;0;3;0;0;2;25;3;0;2111801;659122;Unidade SEDE
Guarulhos;3518800;Guarulhos;59;3;4;UNIESP S.A;16134;2530;FACULDADE DE GUARULHOS;FAG;20;0;0;3;0;3;3;7;3;0;0;1;0;0;0;0;0;1;1;1;1;1;1;22203;11250;27;27;10;17;0;0;7;14;6;3;0;3;8;16;0;4;3;5;4;3;6;2;18;1;2;0;0;6;27;0;1;2111801;659192;Unidade SEDE
Guarulhos;3518800;Guarulhos;59;2;4;UNIFAVENI  CENTRO UNIVERSITARIO FAVENI LTDA;17427;3294;CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;20;0;0;0;0;2;0;3;2;3;4;1;0;2;3;1;0;0;1;1;1;0;1;100;18;87;87;36;51;0;0;27;38;22;19;0;19;68;0;6;22;19;13;11;7;5;4;47;4;14;0;0;22;87;0;0;2111801;659438;Unidade SEDE
Guarulhos;3518800;Guarulhos;59;3;5;ASSOCIACAO EDUCACIONAL PRESIDENTE KENNEDY;402;3432;FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS;FG;11;0;0;0;0;2;0;9;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;42;42;29;13;0;0;0;34;8;0;0;0;0;42;2;2;3;7;9;12;2;5;30;1;9;0;0;2;42;0;0;2111801;659488;Faculdades Integradas de Ciências Humanas, Saúde e Educação
Guarulhos;3518800;Guarulhos;59;3;4;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;3603;FACULDADE ANHANGUERA DE GUARULHOS;;161;0;0;0;0;12;9;59;23;25;12;8;9;4;0;0;0;1;1;1;1;1;1;59543;220268;125;125;57;68;0;0;22;41;62;25;0;25;80;20;4;15;21;26;15;13;18;13;98;5;20;1;0;1;124;1;2;2111801;659557;CAMPUS I
Guarulhos;3518800;Guarulhos;59;3;4;E.E.S.R.G.- EMPRESA DE ENSINO SUPERIOR REUNIDAS GUARULHOS LTDA;17911;13752;FACULDADE DOM RICARDO;FDR;4;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;1;1;1;480;10000;10;9;6;3;0;0;3;4;2;1;0;1;5;3;0;3;1;1;1;2;1;0;5;1;1;0;0;2;9;0;0;2111801;1085823;FDR
Suzano;3552502;Mogi das Cruzes;62;3;5;UNIPIAGET/BRASIL;13938;14715;FACULDADE PIAGET;FACPIAGET;14;0;0;0;0;4;1;3;4;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1055;10598;68;65;35;30;0;0;24;29;12;11;2;9;53;1;5;4;12;16;12;8;6;2;59;0;6;0;0;0;65;0;2;2111801;1046599;FACULDADE PIAGET
Guarulhos;3518800;Guarulhos;59;3;4;PRO-FAC ENSINO SUPERIOR LTDA - ME;13766;14727;FACULDADE PROGRESSO;FAP;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;1;1;1;1;320;12000;30;28;7;21;0;0;7;18;3;3;3;0;4;21;2;1;4;6;4;6;2;3;21;2;4;0;1;0;27;1;0;2111801;1046615;Campus Principal
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15576;Faculdade de Tecnologia de Mogi das Cruzes;FATEC-MC;11;0;0;0;0;0;0;1;1;4;5;0;0;0;0;0;0;0;1;1;1;1;1;1;0;77;77;25;52;0;0;18;38;21;8;2;6;45;24;0;1;7;15;12;10;13;19;65;1;7;2;0;2;77;0;0;2111801;1051393;UNIDADE SEDE
Itaquaquecetuba;3523107;Mogi das Cruzes;62;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15639;Faculdade de Tecnologia de Itaquaquecetuba;Fatec Itaqua;14;0;0;0;0;3;0;3;3;1;4;0;0;0;0;0;0;0;1;1;1;1;1;1;0;63;61;28;33;0;0;16;28;17;4;1;3;36;21;0;3;2;6;9;12;16;13;44;6;7;2;0;2;61;0;0;2111801;1051477;Unidade Sede
Guarulhos;3518800;Guarulhos;59;3;2;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA;33;15752;Faculdade de Tecnologia de Guarulhos;FATEC GR;10;0;0;0;0;1;2;4;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;50;190;100;95;29;66;0;0;11;54;30;10;0;10;49;36;0;1;4;10;14;23;19;24;65;3;10;0;0;17;95;0;0;2111801;1051761;Guarulhos
Itaquaquecetuba;3523107;Mogi das Cruzes;62;3;4;UNIDADE DE ENSINO SUPERIOR E TECNICO ITAQUA LTDA;15224;15873;Faculdade Itaquá;UNEITAQUÁ;11;0;0;1;0;3;0;2;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;520;9;9;2;7;0;0;4;5;0;0;0;0;0;9;0;0;1;2;0;3;1;2;7;0;1;0;0;1;9;0;1;2111801;1051996;Principal
Arujá;3503901;Guarulhos;59;3;5;JOVENS DA VERDADE ASSOCIACAO CIVIL;15953;18288;Faculdade Latino-americana;FLAM;7;0;0;0;0;0;0;0;1;2;1;0;0;2;1;0;0;1;1;1;1;0;1;9;178;11;9;4;5;0;0;4;2;3;1;0;1;2;6;0;1;1;1;2;1;0;3;7;1;1;0;0;0;9;0;0;2111801;1061854;Campus Principal
Guarulhos;3518800;Guarulhos;59;3;4;FACULDADE DE ENSINO GUARULHENSE SS LTDA;16736;21822;FACULDADE TORRICELLI;FT;28;0;0;1;1;3;3;8;3;1;3;3;1;1;0;1;0;1;0;1;1;1;1;34;13065;13;13;4;9;0;0;1;10;2;3;0;3;10;0;1;1;2;1;1;0;3;4;10;0;3;0;0;0;13;0;0;2111801;1078034;Campus Principal
Guarulhos;3518800;Guarulhos;59;3;5;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;222;22314;FACULDADE NOVE DE JULHO GUARULHOS;NOVE-GUARULHOS;12;0;0;0;0;3;2;1;0;1;0;0;3;1;1;1;0;1;1;1;1;1;1;55912;67826;28;28;13;15;0;0;3;19;6;0;0;0;4;24;1;8;7;5;5;2;0;0;28;0;0;0;0;0;28;0;0;2111801;1081691;Campus Principal
