ATRIBUTO;DESCRICAO
NU_ANO_CENSO;Ano de referência do Censo da Educação Superior
NO_REGIAO_IES;Nome da região geográfica da sede administrativa ou reitoria da IES
CO_REGIAO_IES;Código da região geográfica da sede administrativa ou reitoria da IES
NO_UF_IES;Nome da Unidade da Federação da sede administrativa ou reitoria da IES
SG_UF_IES;Sigla da Unidade da Federação da sede administrativa ou reitoria da IES
CO_UF_IES;Código da Unidade da Federação da sede administrativa ou reitoria da IES
NO_MUNICIPIO_IES;Nome do Município da sede administrativa ou reitoria da IES
CO_MUNICIPIO_IES;Código do Município da sede administrativa ou reitoria da IES
IN_CAPITAL_IES;Informa se a sede administrativa ou reitoria da IES está localizada na capital da Unidade da Federação
NO_MESORREGIAO_IES;Nome da Mesorregião da sede administrativa ou reitoria da IES
CO_MESORREGIAO_IES;Código da Mesorregião da sede administrativa ou reitoria da IES
NO_MICRORREGIAO_IES;Nome da Microrregião da sede administrativa ou reitoria da IES
CO_MICRORREGIAO_IES;Código da Microrregião da sede administrativa ou reitoria da IES
TP_ORGANIZACAO_ACADEMICA;Tipo de Organização Acadêmica da IES
TP_CATEGORIA_ADMINISTRATIVA;Tipo de Categoria Administrativa da IES
NO_MANTENEDORA;Nome da mantenedora da IES
CO_MANTENEDORA;Código único de identificação da mantenedora da IES
CO_IES;Código único de identificação da IES
NO_IES;Nome da IES
SG_IES;Sigla da IES
DS_ENDERECO_IES;Endereço da sede administrativa/reitoria da IES
DS_NUMERO_ENDERECO_IES;Número do endereço
DS_COMPLEMENTO_ENDERECO_IES;Complemento do endereço
NO_BAIRRO_IES;Bairro
NU_CEP_IES;CEP
QT_TEC_TOTAL;Quantidade de funcionários técnico-administrativos
QT_TEC_FUNDAMENTAL_INCOMP_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental incompleto
QT_TEC_FUNDAMENTAL_INCOMP_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental incompleto
QT_TEC_FUNDAMENTAL_COMP_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino fundamental completo
QT_TEC_FUNDAMENTAL_COMP_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino fundamental completo
QT_TEC_MEDIO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com ensino médio
QT_TEC_MEDIO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com ensino médio
QT_TEC_SUPERIOR_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com nível superior
QT_TEC_SUPERIOR_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com nível superior
QT_TEC_ESPECIALIZACAO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com especialização
QT_TEC_ESPECIALIZACAO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com especialização
QT_TEC_MESTRADO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com mestrado
QT_TEC_MESTRADO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com mestrado
QT_TEC_DOUTORADO_FEM;Quantidade de funcionários técnico-administrativos do sexo feminino com doutorado
QT_TEC_DOUTORADO_MASC;Quantidade de funcionários técnico-administrativos do sexo masculino com doutorado
IN_ACESSO_PORTAL_CAPES;Informa se as bibliotecas da IES têm acesso ao portal Capes de periódicos
IN_ACESSO_OUTRAS_BASES;Informa se as bibliotecas da IES têm acesso a outras bases de dados licenciadas ou compradas
IN_ASSINA_OUTRA_BASE;Informa se as bibliotecas da IES assinam outras bases de dados licenciadas ou compradas
IN_REPOSITORIO_INSTITUCIONAL;Informa se a IES possui base de dados online que reúne de maneira organizada a produção científica da instituição
IN_BUSCA_INTEGRADA;Informa se a IES oferece ferramenta eletrônica que possibilita pesquisar simultaneamente diversas fontes de informação e obter resultado em uma única interface
IN_SERVICO_INTERNET;Informa se as bibliotecas da IES oferecem serviços pela internet
IN_PARTICIPA_REDE_SOCIAL;Informa se as bibliotecas participam de Redes Sociais
IN_CATALOGO_ONLINE;Informa se a IES possui ferramenta de recuperação de informação que permite ao usuário consultar, de forma local ou remota, a existência e disponibilidade de itens do acervo das bibliotecas
QT_PERIODICO_ELETRONICO;Quantidade de títulos de periódicos eletrônicos adquiridos pelas bibliotecas por meio de compra, doação ou permuta 
QT_LIVRO_ELETRONICO;Quantidade de títulos de livros eletrônicos disponibilizados pelas bibliotecas convertidos ao formato digital ou originalmente produzidos nesse formato para serem lidos em computador ou outros dispositivos
QT_DOC_TOTAL;Quantidade total de docentes (em exercício e afastados)
QT_DOC_EXE;Quantidade total de docentes em exercício
QT_DOC_EX_FEMI;Quantidade de docentes em exercício do sexo feminino
