NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;CLUBE NAUTICO MOGIANO;175;243;FACULDADE DO CLUBE NÁUTICO MOGIANO;FCNM;7;0;0;0;0;4;0;2;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;5000;5000;20;14;6;8;0;0;1;9;4;0;0;0;14;0;0;2;1;2;3;1;4;1;13;0;1;0;0;0;14;0;0
Guarulhos;3518800;Guarulhos;59;1;5;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;481;Universidade Universus Veritas Guarulhos;Univeritas UNG;183;1;2;0;3;20;35;66;33;6;7;3;4;1;2;1;0;1;1;1;1;0;0;517000;29000;491;491;247;244;0;0;117;235;139;180;0;180;105;206;30;77;102;86;73;51;28;44;339;6;132;2;3;9;489;2;0
Guarulhos;3518800;Guarulhos;59;2;5;SOCIEDADE GUARULHENSE DE EDUCACAO;333;483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;107;8;8;3;4;11;10;27;15;14;6;0;1;0;0;1;0;1;1;1;1;1;1;297;28921;42;42;16;26;0;0;7;24;11;16;0;16;22;4;0;0;1;1;7;8;4;21;35;0;5;0;0;2;42;0;0
Mogi das Cruzes;3530607;Mogi das Cruzes;62;1;4;ORGANIZACAO MOGIANA DE EDUCACAO E CULTURA SOCIEDADE SIMPLES LIMITADA;362;521;UNIVERSIDADE DE MOGI DAS CRUZES;UMC;240;0;3;2;2;48;64;47;36;15;9;6;5;2;1;1;0;1;0;0;1;0;1;22;27412;470;466;207;259;0;0;125;206;135;197;1;196;170;99;15;27;40;88;84;62;58;92;397;4;27;15;0;23;457;9;2
Mogi das Cruzes;3530607;Mogi das Cruzes;62;2;4;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;365;526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;;88;0;0;0;1;25;21;17;6;11;2;1;3;1;0;0;0;1;1;0;1;0;1;19594;32668;283;283;143;140;0;0;61;132;90;78;0;78;103;102;4;19;33;67;40;39;44;37;246;5;21;4;0;7;281;2;4
Suzano;3552502;Mogi das Cruzes;62;3;5;UNIESP S.A;16134;1313;FACULDADE DE SUZANO;UNISUZ;14;0;0;0;0;2;1;3;2;2;1;0;1;1;1;1;0;1;0;1;1;1;1;22203;11213;16;16;7;9;0;0;1;11;4;5;0;5;11;0;0;1;2;1;3;3;3;3;12;0;1;1;0;2;16;0;0
Guarulhos;3518800;Guarulhos;59;2;4;EDVAC SERVICOS EDUCACIONAIS LTDA;1243;1892;Centro Universitário de Excelência Eniac;ENIAC;125;0;0;0;0;24;32;13;19;12;14;0;0;4;7;0;0;1;1;1;1;0;0;154;1945;63;57;16;41;0;0;0;39;18;19;1;18;28;10;0;1;4;7;12;12;10;11;28;0;5;0;0;24;56;1;0
Mogi das Cruzes;3530607;Mogi das Cruzes;62;3;5;ASSOCIACAO CULTURAL PAULO VI;1557;2389;FACULDADE DE FILOSOFIA E TEOLOGIA PAULO VI;FFTP;6;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;29;27;3;24;0;0;2;17;8;6;6;0;11;10;1;2;4;3;3;3;4;7;20;0;5;0;0;2;26;1;0
Guarulhos;3518800;Guarulhos;59;2;4;UNIFAVENI  CENTRO UNIVERSITARIO FAVENI LTDA;17427;3294;CENTRO UNIVERSITÁRIO FAVENI;UNIFAVENI;8;0;0;0;0;2;1;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;250;26000;99;99;46;53;0;0;26;46;27;26;1;25;73;0;5;17;29;18;10;8;5;7;53;5;23;0;0;18;98;1;1
Guarulhos;3518800;Guarulhos;59;3;5;ASSOCIACAO EDUCACIONAL PRESIDENTE KENNEDY;402;3432;FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS;FG;6;0;0;0;0;0;2;0;3;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1000;20000;26;26;16;10;0;0;0;18;8;7;0;7;12;7;0;3;1;4;3;3;4;8;16;1;6;0;0;3;26;0;0
